Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6
Fungal infection,itching, skin_rash, nodal_skin_eruptions, dischromic _patches,,
Fungal infection,itching, nodal_skin_eruptions,,,,
Fungal infection,itching, skin_rash,,,,
Fungal infection, skin_rash, dischromic _patches,,,,
Fungal infection, skin_rash, nodal_skin_eruptions, dischromic _patches,,,
Fungal infection,itching, skin_rash, nodal_skin_eruptions,,,
Fungal infection, nodal_skin_eruptions, dischromic _patches,,,,
Fungal infection,itching, nodal_skin_eruptions, dischromic _patches,,,
Fungal infection,itching, dischromic _patches,,,,
Fungal infection, skin_rash, nodal_skin_eruptions,,,,
Fungal infection,itching, skin_rash, dischromic _patches,,,
Fungal infection, skin_rash, nodal_skin_eruptions,,,,
Fungal infection, skin_rash, nodal_skin_eruptions, dischromic _patches,,,
Fungal infection, nodal_skin_eruptions, dischromic _patches,,,,
Fungal infection, skin_rash, dischromic _patches,,,,
Fungal infection,itching, dischromic _patches,,,,
Fungal infection, nodal_skin_eruptions, dischromic _patches,,,,
Fungal infection,itching, nodal_skin_eruptions,,,,
Fungal infection,itching, nodal_skin_eruptions, dischromic _patches,,,
Fungal infection,itching, skin_rash, dischromic _patches,,,
Fungal infection,itching, skin_rash,,,,
Fungal infection,itching, dischromic _patches,,,,
Fungal infection, skin_rash, dischromic _patches,,,,
Fungal infection,itching, skin_rash,,,,
Fungal infection,itching, skin_rash, nodal_skin_eruptions,,,
Fungal infection,itching, nodal_skin_eruptions,,,,
Fungal infection, skin_rash, nodal_skin_eruptions,,,,
Fungal infection, nodal_skin_eruptions, dischromic _patches,,,,
Fungal infection, skin_rash, nodal_skin_eruptions,,,,
Fungal infection, skin_rash, nodal_skin_eruptions, dischromic _patches,,,
Fungal infection, skin_rash, dischromic _patches,,,,
Fungal infection,itching, nodal_skin_eruptions,,,,
Fungal infection,itching, nodal_skin_eruptions, dischromic _patches,,,
Fungal infection,itching, dischromic _patches,,,,
Fungal infection, nodal_skin_eruptions, dischromic _patches,,,,
Fungal infection, skin_rash, dischromic _patches,,,,
Fungal infection,itching, dischromic _patches,,,,
Fungal infection,itching, skin_rash, dischromic _patches,,,
Fungal infection,itching, skin_rash,,,,
Fungal infection,itching, skin_rash, nodal_skin_eruptions,,,
Fungal infection, skin_rash, nodal_skin_eruptions,,,,
Fungal infection,itching, skin_rash,,,,
Fungal infection,itching, nodal_skin_eruptions,,,,
Fungal infection,itching, nodal_skin_eruptions,,,,
Fungal infection,itching, nodal_skin_eruptions, dischromic _patches,,,
Fungal infection, skin_rash, dischromic _patches,,,,
Fungal infection, nodal_skin_eruptions, dischromic _patches,,,,
Fungal infection, skin_rash, nodal_skin_eruptions, dischromic _patches,,,
Fungal infection,itching, skin_rash, nodal_skin_eruptions, dischromic _patches,,
Fungal infection,itching, skin_rash,,,,
Fungal infection,itching, skin_rash, nodal_skin_eruptions,,,
Fungal infection,itching, dischromic _patches,,,,
Fungal infection, skin_rash, nodal_skin_eruptions,,,,
Fungal infection,itching, skin_rash, dischromic _patches,,,
Allergy, continuous_sneezing, chills,,,,
Allergy, shivering, chills,,,,
Allergy, continuous_sneezing, shivering, chills, watering_from_eyes,,
Allergy, continuous_sneezing, shivering, chills,,,
Allergy, continuous_sneezing, watering_from_eyes,,,,
Allergy, shivering, chills, watering_from_eyes,,,
Allergy, continuous_sneezing, shivering, watering_from_eyes,,,
Allergy, continuous_sneezing, chills, watering_from_eyes,,,
Allergy, chills, watering_from_eyes,,,,
Allergy, shivering, watering_from_eyes,,,,
Allergy, continuous_sneezing, shivering,,,,
Allergy, chills, watering_from_eyes,,,,
Allergy, shivering, chills, watering_from_eyes,,,
Allergy, shivering, chills,,,,
Allergy, shivering, watering_from_eyes,,,,
Allergy, continuous_sneezing, watering_from_eyes,,,,
Allergy, continuous_sneezing, chills,,,,
Allergy, continuous_sneezing, chills, watering_from_eyes,,,
Allergy, chills, watering_from_eyes,,,,
Allergy, shivering, watering_from_eyes,,,,
Allergy, continuous_sneezing, shivering, watering_from_eyes,,,
Allergy, continuous_sneezing, shivering,,,,
Allergy, continuous_sneezing, watering_from_eyes,,,,
Allergy, continuous_sneezing, shivering,,,,
Allergy, continuous_sneezing, shivering, chills,,,
Allergy, shivering, chills,,,,
Allergy, continuous_sneezing, chills,,,,
Allergy, shivering, chills, watering_from_eyes,,,
Allergy, shivering, watering_from_eyes,,,,
Allergy, shivering, chills,,,,
Allergy, chills, watering_from_eyes,,,,
Allergy, chills, watering_from_eyes,,,,
Allergy, continuous_sneezing, chills,,,,
Allergy, continuous_sneezing, watering_from_eyes,,,,
Allergy, continuous_sneezing, chills, watering_from_eyes,,,
Allergy, continuous_sneezing, shivering, watering_from_eyes,,,
Allergy, continuous_sneezing, shivering,,,,
Allergy, continuous_sneezing, watering_from_eyes,,,,
Allergy, shivering, watering_from_eyes,,,,
Allergy, continuous_sneezing, chills,,,,
Allergy, shivering, chills,,,,
Allergy, continuous_sneezing, shivering, chills,,,
Allergy, continuous_sneezing, shivering,,,,
Allergy, shivering, chills, watering_from_eyes,,,
Allergy, continuous_sneezing, shivering, chills,,,
Allergy, chills, watering_from_eyes,,,,
Allergy, shivering, chills,,,,
Allergy, continuous_sneezing, chills,,,,
Allergy, shivering, watering_from_eyes,,,,
Allergy, continuous_sneezing, shivering, watering_from_eyes,,,
Allergy, continuous_sneezing, shivering,,,,
Allergy, continuous_sneezing, chills, watering_from_eyes,,,
Allergy, continuous_sneezing, watering_from_eyes,,,,
Allergy, continuous_sneezing, shivering, chills, watering_from_eyes,,
GERD, stomach_pain, acidity, cough, chest_pain,,
GERD, ulcers_on_tongue, cough,,,,
GERD, stomach_pain, acidity, ulcers_on_tongue, vomiting, cough,
GERD, stomach_pain, ulcers_on_tongue, cough, chest_pain,,
GERD, acidity, ulcers_on_tongue, chest_pain,,,
GERD, stomach_pain, acidity, vomiting, cough,,
GERD, stomach_pain, chest_pain,,,,
GERD, stomach_pain, cough, chest_pain,,,
GERD, ulcers_on_tongue, vomiting, cough, chest_pain,,
GERD, stomach_pain, acidity, ulcers_on_tongue, vomiting, chest_pain,
GERD, acidity, vomiting, chest_pain,,,
GERD, ulcers_on_tongue, cough, chest_pain,,,
GERD, stomach_pain, acidity, vomiting,,,
GERD, stomach_pain, acidity, ulcers_on_tongue, vomiting,,
GERD, stomach_pain, acidity,,,,
GERD, acidity, cough,,,,
GERD, vomiting, cough, chest_pain,,,
GERD, stomach_pain, acidity, cough,,,
GERD, stomach_pain, ulcers_on_tongue, chest_pain,,,
GERD, stomach_pain, ulcers_on_tongue, vomiting, cough,,
GERD, stomach_pain, acidity, chest_pain,,,
GERD, stomach_pain, acidity, ulcers_on_tongue, cough, chest_pain,
GERD, acidity, ulcers_on_tongue, vomiting, cough, chest_pain,
GERD, acidity, ulcers_on_tongue, vomiting, chest_pain,,
GERD, stomach_pain, ulcers_on_tongue, vomiting, chest_pain,,
GERD, stomach_pain, vomiting, cough, chest_pain,,
GERD, stomach_pain, ulcers_on_tongue, vomiting, cough, chest_pain,
GERD, vomiting, chest_pain,,,,
GERD, ulcers_on_tongue, vomiting, cough,,,
GERD, ulcers_on_tongue, cough,,,,
GERD, stomach_pain, ulcers_on_tongue, cough, chest_pain,,
GERD, stomach_pain, chest_pain,,,,
GERD, cough, chest_pain,,,,
GERD, stomach_pain, ulcers_on_tongue, vomiting, cough,,
GERD, ulcers_on_tongue, chest_pain,,,,
GERD, ulcers_on_tongue, vomiting,,,,
GERD, stomach_pain, ulcers_on_tongue, vomiting, chest_pain,,
GERD, stomach_pain, ulcers_on_tongue, chest_pain,,,
GERD, stomach_pain, cough,,,,
GERD, ulcers_on_tongue, vomiting, cough, chest_pain,,
GERD, stomach_pain, ulcers_on_tongue, cough,,,
GERD, stomach_pain, ulcers_on_tongue,,,,
GERD, stomach_pain, vomiting, chest_pain,,,
GERD, vomiting, cough,,,,
GERD, ulcers_on_tongue, cough, chest_pain,,,
GERD, ulcers_on_tongue, vomiting, chest_pain,,,
GERD, stomach_pain, vomiting, cough,,,
GERD, stomach_pain, cough, chest_pain,,,
GERD, stomach_pain, ulcers_on_tongue, vomiting,,,
GERD, vomiting, cough, chest_pain,,,
GERD, vomiting, cough,,,,
GERD, acidity, cough, chest_pain,,,
GERD, stomach_pain, cough,,,,
GERD, stomach_pain, vomiting, cough, chest_pain,,
GERD, stomach_pain, cough, chest_pain,,,
GERD, stomach_pain, acidity, cough, chest_pain,,
GERD, acidity, vomiting, chest_pain,,,
GERD, acidity, vomiting,,,,
GERD, acidity, vomiting, cough, chest_pain,,
GERD, stomach_pain, acidity, vomiting, chest_pain,,
GERD, acidity, cough,,,,
GERD, vomiting, cough, chest_pain,,,
GERD, vomiting, chest_pain,,,,
GERD, cough, chest_pain,,,,
GERD, acidity, chest_pain,,,,
GERD, stomach_pain, chest_pain,,,,
GERD, stomach_pain, vomiting, cough,,,
